journal,title,abstract,keywords,year,volume,number,doi,issn,title_length,title_character_length,abstract_length,abstract_character_length,keywords_number,title_word_limit,abstract_word_limit,keywords_limit,structured_abstract,upper,lower,longer,shorter,to_screen
ACTA AMAZONICA,Caryocar villosum attenuates inflammation by inhibiting CXCL1 activation and peripheral hyperalgesia through opioid pathway modulation,"The oil of Caryocar villosum is used in Amazonian folk medicine to treat pain and inflammatory conditions. So, we assessed the anti-inflammatory and antinociceptive properties of the ethanolic extract obtained from the fruit peels of this species. The acetic acid-induced writhing, carrageenan-induced mechanical hyperalgesia, formalin, carrageenan-induced paw edema and carrageenan-induced peritonitis tests were used on mice. The C. villosum ethanolic extract significantly inhibited the number of abdominal writhes, mechanical hyperalgesia and paw licking time in the second phase of the formalin test. At a dose of 300 mg kg(-1), the extract also significantly reduced the volume of edema formed in the late phase and reduced the recruitment of leukocytes and neutrophils in the peritoneal cavity, as well as CXCL1 chemokine levels. It is suggested that the extract attenuates the leukocyte recruitment by inhibiting the CXCL1 activation. The peripheral antinociceptive activity occured through opioid pathway modulation because pretreatment with C. villosum ethanolic extract reversed the naltrexone-induced antinociception.",pain; antinociception; chemokine; leukocyte recruitment,2022,52,3,10.1590/1809-4392202200552,0044-5967,15,134,156,1129,4,NA,250,5,Yes,275,225,no,yes,yes
AFRICAN JOURNAL OF ECOLOGY,"Floral composition and diversity of the lagos coastal environment, South-Western, Nigeria","The present study investigates the floral diversity of the Lagos coastal environments by sampling 21 points using the quadrat method. The study revealed two major aquatic ecosystem types (mangrove and freshwater swamp) and recorded 125 species belonging to 108 genera and 49 families. While Alchornea cordifolia and Raphia hookeri were found as the most frequent, Acalypha crenata and Acrostichum aureum were the least abundant species. The highest and lowest species-rich locations were Unilag (n = 125 species) and Abule Osun (n = 2 species), respectively. The vegetation structure of the LCE is dominated by herbaceous species. Our findings provide insights on the flora diversity of the LCE, and a guideline for the effective conservation of near-threatened species such as Nauclea diderrichii and Mitragyna stipulosa in this coastal ecosystem is presented.",Coastal zones; Lagos state; species distribution; vegetation types; beta-diversity,2023,61,1,10.1111/aje.13080,0141-6707,11,89,130,861,5,NA,200,8,No,225,175,no,yes,yes
AFRICAN JOURNAL OF ECOLOGY,Native forest regeneration and eucalyptus plantations in the Malagasy Highland,Eucalyptus plantations (EP) offer a number of goods and services that can reduce pressure on native forests. Eucalyptus trees can also be invasive and have a negative impact on native species diversity and regeneration. This article deals with the complex interaction between EP and native forests by studying the case of the humid forests of Malagasy Central High Land that are surrounded by EP. Floristic inventories were carried out on 400 m(2) plots in adjacent secondary forests (n = 5) and EP (n = 6). Eucalyptus has not spread to secondary forests understory. Native species from secondary forests have colonised EP understory.,NA,2023,61,1,10.1111/aje.13088,0141-6707,10,78,102,634,NA,NA,200,8,No,225,175,no,yes,yes
AFRICAN JOURNAL OF ECOLOGY,"Decline in whistling rat (Parotomys brantsii) density: Possible response to climate change in the Karoo, South Africa","The burrow systems (warrens) of whistling rat Parotomys brantsii are confined to patches of deep soil (biogenic mounds known as heuweltjies) on stony plains in the arid Succulent Karoo region of South Africa. Whistling rat warrens were recorded on heuweltjies at the Tierberg Long-Term Ecological Research (LTER) site in the southern Karoo, Western Cape Province, South Africa, on eight occasions between 1988 and 2001. Increasing temperatures over the study period combined with a severe drought from 2015 to 2021 caused a 36\% dieback in perennial shrub cover on the research site. The percentage of heuweltjies occupied by whistling rats declined from 44\% occupation to 20\% occupation between 2005 and 2021 during unusually hot, dry conditions indicated by low values in the Standardised Evapotranspiration Index. Around their warrens, whistling rats had no influence on species richness of perennial plants but reduced vegetation cover.",burrow systems; drought; food plants; Otomyine; rodent population,2022,60,4,10.1111/aje.13063,0141-6707,17,117,142,942,5,NA,200,8,No,225,175,no,yes,yes
AFRICAN JOURNAL OF ECOLOGY,"Dietary composition of rodents across different habitats in the Ukaguru Mountains, Tanzania","This study aimed at investigating the dietary composition of rodents in the Ukaguru Mountains, Tanzania. Micro-histological analysis of the stomach contents of rodents collected from various habitats was carried out. In the diet of Mastomys natalensis, Lemniscomys rosalia and Mus triton, seed/grain showed greater importance (>35\%, >55\% and 60\% respectively), whereas for Lophuromys kilonzoi, plant materials were more important (>55\%) than other categories. Seed/grains were more important (>20\%) in the diet of Praomys delectorum, while plant materials were more important (>45\%) in the diet of forest-dwelling L. kilonzoi. Food diversity for rodents in farmland was relatively low compared with forest-dwelling rodents. Our results indicated that the relatively low niche breadth observed in rodents caught in farms could be attributed to the major contribution of seed/grains to their diet while forest-dwelling rodents showed greater food diversity owing to the more heterogeneous and stable nature of forests compared with farms. The abundance of food resources in both habitats would have permitted coexistence of rodent species.",diet; eastern Arc Mountains; niche breadth; rodents,2022,60,4,10.1111/aje.13042,0141-6707,12,91,163,1143,4,NA,200,8,No,225,175,no,yes,yes
AFRICAN JOURNAL OF ECOLOGY,"Diversity, distribution and regional conservation status of the Egyptian tree flora","The present study aims at determining the phytogeographical distribution and economic potential and documenting the degree of risk to the extinction of tree species, and the changes these species have undergone over the past 20 years. Field surveys were conducted at many locations in Egypt between January 2017 and March 2020. From each location, GPS coordinates were taken and the number of individuals was estimated. Also, specimens and seed samples for each species were collected from different habitats as can as possible. Other data were collected through herbaria visits and existing literature. The recorded taxa were arranged alphabetically according to Angiosperm Phylogeny Group system (APG IV). Evaluation of conservation status was based on IUCN Red List Categories and Criteria. In the present study, we applied Criterion B that concerns the geographical range in the form of both B1 (extent of occurrence: EOO) and B2 (area of occupancy: AOO). Calculations of both AOO and EOO and the assessment process were assisted using the GeoCAT software. Fifty-seven taxa were recorded, and most of them occur in Elbanian sector. Among them, five alien species were recorded. Many taxa offered economic goods such as medicinal, timber and fuel values; and environmental services as shaders and phytoremediators. Fifty taxa suffered from over-collecting and over-cutting. Among the 52 native trees in the present study, 31 taxa are evaluated as threatened with extinction; 10 taxa are Critically Endangered, 16 are Endangered and 5 are Vulnerable. There are two taxa assessed as Near Threatened and 15 as Least Concern. On the contrary, four taxa fall in the category of Data Deficient. There are 28 in situ conserved taxa in the protected areas. Also, 28 taxa are under ex situ conservation. In conclusion, land-use patterns, climate change and human impact lead to put about 61\% of the trees in Egypt under threat of extinction. Consequently, nature conservation organisations should take an action towards the conservation of these valuable taxa.",climate change; endangered trees; extinction; IUCN categories; Red List; trees uses,2022,60,4,10.1111/aje.13071,0141-6707,11,83,320,2055,6,NA,200,8,No,225,175,yes,no,yes
AFRICAN JOURNAL OF RANGE AND FORAGE SCIENCE,Bromatological and histological features of native African grasses under grazing in Brazilian semi-arid rangelands,"This study evaluated the bromatological and histological features of native African grasses under grazing in Brazilian semi-arid rangelands. An experimental grid design was used in a randomised sampling method for four replicate samples of three African grasses. The grasses evaluated were: Cenchrus ciliaris L., Digitaria pentzii Stent. and Megathyrsus maximus (Jacq.). The bromatological and histological traits analysed included dry matter (DM), crude protein (CP), neutral detergent fibre corrected to ashes and protein (NDFap), lignin, mesophyll, vascular bundle, phloem, xylem, vascular sheath, sclerenchyma, bulliform cells, and the adaxial and abaxial epidermis. The type of grass and grazing cycle correlated with DM, NDF and lignin (p < 0.05), whereas CP was not affected by these factors (p > 0.05). Dry matter ranged between 128 and 304 g kg(-1); CP ranged between 90 and 167 g kg(-1); NDFap between 542 and 707 g kg(-1), and lignin between 10 and 40 g kg(-1). The proportion of xylem (8.4\%), vascular sheath (30.5\%) and total vascular bundles (38.1\%) were greater in M. maximus (p < 0.05). The percentage of sclerenchyma did not differ between species (p > 0.05). Digitaria pentzii and C. ciliaris had a greater proportion of mesophyll than M. maximus (p < 0.05). Of the three grasses analysed. Digitaria pentzii exhibited the highest forage quality, because it had the lowest concentration of fibre and lignin, with lower proportions of lignified tissues.",C-4 grasses; forage histology; pasture quality,2023,40,2,10.2989/10220119.2022.2033834,1022-0119,14,114,227,1472,3,NA,200,5,No,225,175,yes,no,yes
AFRICAN JOURNAL OF RANGE AND FORAGE SCIENCE,Participatory inventory and nutritional evaluation of local forage resources for smallholder free-range beef production in semi-arid areas of South Africa,"Feed scarcity is a major challenge facing free-range beef farming in semi-arid areas. Specifically, low quality and quantity of forage in rangelands and higher feeding costs are the main constraints limiting smallholder free-range beef farmers' participation in mainstream beef markets. Using farmers' participatory approaches, this study identified major locally available forage resources (LAFRs) and evaluated their nutritional value. A total of 40 free-ranging commercially orientated smallholder beef farmers were interviewed using semi-structured questionnaires and tasked to identify LAFRs in the Cradock and Middelburg areas of the Eastern Cape, South Africa. Chemical analysis was conducted for the most cited forages such as African sheepbush (Pentzia incana), sweet thorn (Vachellia karroo) leaves and pods, reed (Phragmites australis), lucerne (Medicago sativa) hay, natural pasture grasses (NPGs) and barbary fig, or prickly pear cactus, (Opuntia ficus-indica) cladodes collected from twelve participants' farms. Feed shortage was ranked by more than 53\% respondents as the main constraint to smallholder beef production. Regardless of the farming area, crude protein content of V. karroo leaves and pods averaging 18.8 and 19.5\%, respectively, was higher than other LAFRs. However, V. karoo pods had relatively low ash content than other forages in both farming areas. Opuntia ficus-indica attained high in vitro neutral detergent fibre digestibility at 12, 24 and 48 hr incubation periods, due to low neutral detergent fibre, acid detergent fibre and acid detergent lignin. Integration of participatory inventory and chemical analysis proved to be reliable in identifying LAFRs, with V. karroo leaves and O. ficus-indica cladodes being the main potential forage resources for inclusion in beef cattle diets. Further research is recommended to substantiate their supplementary nutritive value and level of inclusion in beef cattle finishing diets.",chemical composition; forage resources; free-range beef farming; in-vitro NDF digestibility; participatory approaches,2023,40,"1, SI",10.2989/10220119.2022.2121941,1022-0119,20,154,279,1963,5,NA,200,5,No,225,175,yes,no,yes
AFRICAN JOURNAL OF RANGE AND FORAGE SCIENCE,Herbicide trials on Campuloclinium macrocephalum (Asteraceae) during adverse conditions reveal incompatibility with biocontrol and a narrow window of opportunity for chemical control,"Herbicide trials on pompom weed Campuloclinium macrocephalum (Less.) DC. (Asteraceae) were carried out in grasslands with xeric and hydric soils, at sites in Gauteng, South Africa, from 2005 to 2008. The rust fungus Puccinia eupatorii Dietel, an established self-perpetuating biocontrol agent on C. macrocephalum, caused significant damage to shoots in late summer and autumn. Herbicide efficacy was significantly better on foliage that did not already present symptoms and that was sprayed in early summer compared with on infected plants treated in autumn, at both the xeric (F = 36.71, p < 0.001) and hydric (F = 3.59, p = 0.031) sites. This pathogen has reduced the time available for effective chemical weed control from six months to three months. However, none of the herbicide treatments achieved commercially acceptable mortality rates of >= 80\%, and after three annual applications none succeeded in extirpating C. macrocephalum from the plots. Regression analyses of count data showed that metsulfuron-methyl at 45 g ha(-1) (USD 20.05 ha(-1)), picloram at 252 g ha(-1) (USD 25.47 ha(-1)) and 2,4-D/dicamba/MCPA at 540/360/474 g ha(-1) (USD 45.41 ha(-1)) required five annual treatments in summer to eradicate C. macrocephalum, whereas 2,4-D amine at 1 440 g ha(-1) (USD 13.65 ha(-1)) and MCPA at 1 200 g ha(-1) (USD 14.46 ha(-1)) required six treatments. Hence, there is a trade-off between the use of slightly more effective herbicides against the lower costs of other selective herbicides.",drought; fire; pathogen; pompom weed; Puccinia eupatorii; recruitment; soil type,2022,NA,NA,10.2989/10220119.2022.2103585,1022-0119,22,182,234,1503,7,NA,200,5,No,225,175,yes,no,yes
AFRICAN JOURNAL OF RANGE AND FORAGE SCIENCE,Historic changes in the fire-rainfall relationship at a woodland-savanna transition zone in southern Africa,"Southern Africa is dominated by fire-prone arid and semi-arid landscapes that are expected to experience increased maximum temperatures, rainfall variation and frequency of extreme rainfall events in the future. These conditions will affect fire and vegetation dynamics, but feedback and interactions among fire, rainfall and woody cover limit our ability to predict future ecosystem changes. Moreover, human activities can also drive changes in these components and their interactions. There are few long-term datasets available to monitor these changes over ecologically relevant time-scales. Here the combined analysis of a rainfall proxy, developed from a baobab tree core (Adansonia digitata) and fire proxy, from a sediment core, in the savanna-woodland transition zone in South Central Africa elucidates the history of two major drivers of savanna structure for the past 600 years. They show a system that oscillates between wooded and grassy vegetation states over time, as well as a change in the spatial scale of fires, which could be linked to human activities and recent fire management legislation.",climate change; fire ecology; savanna; summer rainfall; vegetation dynamics,2022,39,"1, SI",10.2989/10220119.2022.2030408,1022-0119,14,107,166,1111,5,NA,200,5,No,225,175,no,yes,yes
AFRICAN JOURNAL OF WILDLIFE RESEARCH,African large carnivore population changes in response to a drought,"African lions (Panthera leo) and spotted hyaenas (Crocuta crocuta) play key roles in savanna ecosystems. Habitat change, overharvesting and retaliatory killing may threaten the persistence of some populations. Climate may cause further disturbance that accentuate negative effects. Droughts weaken the ability of prey to avoid predators resulting in larger carnivore populations. We thus expected populations of African lions and spotted hyaenas to increase during a drought in Kruger National Park (Kruger). Prey that is easier to hunt during droughts may also influence age and sex structures through impacts on survival and fecundity schedules. We tested these predictions by collating information from previous studies and conducting a field call-up survey in Kruger. A severe drought in Kruger during the summer of 2015/2016 allowed pre- and post-drought comparisons. Before the drought, lion and spotted hyaena numbers increased in response to increasing prey biomass. During the drought, lions maintained their numbers, while spotted hyaena numbers increased further. There were substantially more subadult male lions after than before the drought. The abundant subadult males may induce higher incidences of human-carnivore conflict through more dispersing males in future. Our analyses highlighted immediate and lag effects of carnivores in response to droughts.",climate change; drought; lions; spotted hyaenas; age and sex structure; abundance; Kruger National Park,2022,52,1,10.3957/056.052.0001,2410-7220,10,67,196,1371,7,12,300,NA,No,325,275,no,yes,yes
AFRICAN JOURNAL OF WILDLIFE RESEARCH,A demand-based analysis of ecotourism product diversification in Botswana,"The evolution of the tourism sector has been subjected to massive changes in demand and technology, as well as increasing competition amongst destinations to such a degree that product diversification is now core to development strategies in order to maintain competitiveness and remain abreast of contemporary trends. The study sought to determine the demand for ecotourism products in view of developing a diversification strategy. Self-administered questionnaires were used to collect demand-side data at Maun and Kasane airports; these data were then analysed quantitatively. Findings revealed a strong preference for wildlife/wilderness and nature products, whereas events and hunting were least liked. The country attracts mature tourists who prefer soft adventure and activities that prioritize conservation, interpretation, and environmental education. Factors related to entertainment, the construction of entertainment facilities, a post office, and golf courses were strongly resented. It was established that related diversification, focused on expanding services and enhancing existing products, is the most appropriate strategy. Practically, the research offers a specific diversification strategy based on ecotourism, detailing how and what to diversify. The study makes a valuable contribution to demand-side diversification literature as well as empirical research, which is lacking in Botswana.",product diversification; ecotourism; tourism demand; ecotourism products,2021,51,1,10.3957/056.051.0019,2410-7220,9,73,192,1412,4,12,300,NA,No,325,275,no,yes,yes
AFRICAN JOURNAL OF WILDLIFE RESEARCH,African wild dog movement ecology in a small protected area in South Africa,"Dramatic population declines of African wild dogs (Lycaon pictus) led to a managed metapopulation approach for wild dog conservation in South Africa. Monitoring the survival and habitat use of packs reintroduced into protected areas (PAs) is an essential part of adaptive management and improving the health and, ultimately, the survival of the metapopulation. Our study describes the territoriality and habitat selection of a pack of wild dogs reintroduced into Manyoni Private Game Reserve (219 km(2)) in northern KwaZulu-Natal, South Africa. Despite being introduced into a small PA, the pack only utilized half their available space (121 km(2)) and avoided the central areas of the reserve. Post hoc analysis of African lion (Panthera leo) localities suggested competitive avoidance was a strong factor in shaping the habitat usage of the pack; however, further research is required. Habitat selection also varied seasonally and with denning. Ultimately, we showed that spatio-temporal analyses can help identify high-risk areas within wild dog territories, such as hotspots of activity along fencelines. These analyses can then be used to increase targeted management of these areas, such as improving the maintenance of well-used fencelines, which is an important consideration for the sustained success of the metapopulation across small PAs.",African wild dogs; metapopulation; territory; T-LoCoH; habitat selection; competitive avoidance,2021,51,1,10.3957/056.051.0054,2410-7220,13,75,200,1349,6,12,300,NA,No,325,275,no,yes,yes
